Product code,Station number,Year,Month,Monthly mean daily global solar exposure (MJ/m*m)
IDCJAC0003,070247,2019,02,22.8
IDCJAC0003,070247,2019,03,15.7
IDCJAC0003,070247,2019,04,14.2
IDCJAC0003,070247,2019,05,10.0
IDCJAC0003,070247,2019,06,9.2
IDCJAC0003,070247,2019,07,9.9
IDCJAC0003,070247,2019,08,12.8
IDCJAC0003,070247,2019,09,16.2
IDCJAC0003,070247,2019,10,21.8
IDCJAC0003,070247,2019,11,25.6
IDCJAC0003,070247,2019,12,26.8
IDCJAC0003,070247,2020,01,23.5
IDCJAC0003,070247,2020,02,20.0
IDCJAC0003,070247,2020,03,17.0
IDCJAC0003,070247,2020,04,12.0
IDCJAC0003,070247,2020,05,10.4
IDCJAC0003,070247,2020,06,9.1
IDCJAC0003,070247,2020,07,9.6
IDCJAC0003,070247,2020,08,11.8
IDCJAC0003,070247,2020,09,15.5
IDCJAC0003,070247,2020,10,18.3
IDCJAC0003,070247,2020,11,24.9
IDCJAC0003,070247,2020,12,24.6
IDCJAC0003,070247,2021,01,23.0
IDCJAC0003,070247,2021,02,20.2
IDCJAC0003,070247,2021,03,15.5
IDCJAC0003,070247,2021,04,15.0
IDCJAC0003,070247,2021,05,10.2
IDCJAC0003,070247,2021,06,7.9
IDCJAC0003,070247,2021,07,8.6
IDCJAC0003,070247,2021,08,12.2
IDCJAC0003,070247,2021,09,15.7
IDCJAC0003,070247,2021,10,20.1
IDCJAC0003,070247,2021,11,17.4
IDCJAC0003,070247,2021,12,23.5
IDCJAC0003,070247,2022,01,20.4
IDCJAC0003,070247,2022,02,20.0
IDCJAC0003,070247,2022,03,15.0
IDCJAC0003,070247,2022,04,11.7
IDCJAC0003,070247,2022,05,9.2
IDCJAC0003,070247,2022,06,8.4
IDCJAC0003,070247,2022,07,9.4
IDCJAC0003,070247,2022,08,11.0
IDCJAC0003,070247,2022,09,14.3
